command started at 2026-03-09 04:32:43+00:00, finished at 2026-03-09 04:32:53+00:00 with exitcode=0
LAST SEEN   TYPE      REASON      OBJECT                                     MESSAGE
19m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-289mw   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 76ms (76ms including waiting). Image size: 540108575 bytes.
44m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-28bpj   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-28bpj to aks-heavy-22317745-vmss000002
44m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-28bpj   Pulling image "ghcr.io/actions/actions-runner:latest"
28m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-28cf9   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-28cf9 to aks-heavy-22317745-vmss000002
28m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-28cf9   Pulling image "ghcr.io/actions/actions-runner:latest"
28m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-28cf9   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 150ms (150ms including waiting). Image size: 540108575 bytes.
28m         Normal    Created     pod/arc-heavy-runners-mlqbj-runner-28cf9   Created container: runner
24m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-28mwx   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-28mwx to aks-heavy-22317745-vmss000002
24m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-28mwx   Pulling image "ghcr.io/actions/actions-runner:latest"
24m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-28mwx   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 83ms (83ms including waiting). Image size: 540108575 bytes.
2m36s       Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-28pdb   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-28pdb to aks-heavy-22317745-vmss000002
4m55s       Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-28qbh   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-28qbh to aks-heavy-22317745-vmss000002
4m55s       Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-28qbh   Pulling image "ghcr.io/actions/actions-runner:latest"
4m55s       Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-28qbh   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 91ms (91ms including waiting). Image size: 540108575 bytes.
4m55s       Normal    Created     pod/arc-heavy-runners-mlqbj-runner-28qbh   Created container: runner
4m55s       Normal    Started     pod/arc-heavy-runners-mlqbj-runner-28qbh   Started container runner
27m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-28sxk   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-28sxk to aks-heavy-22317745-vmss000002
